id,team_name
131,"Mercedes"
214,"Alpine F1 Team"
210,"Haas F1 Team"
9,"Red Bull"
1,"McLaren"
117,"Aston Martin"
215,"RB F1 Team"
6,"Ferrari"
15,"Sauber"
3,"Williams"
